celltype	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	setting	q	discovery	mix_q	mix_discovery
early pro-B cell	72.0	1000.0	0.08791209	1.3909705	0.14685315	1.0639577	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.40404039999999997	False	0.35964033599999995	False
endocardial cell	375.0	1000.0	0.4985015	-0.10974068	0.977023	-2.0858648	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.845914647887324	False	0.9892628168067227	False
endothelial cell	4928.0	1000.0	0.050949052	1.799798	0.24875125	0.47785634	1.0	3.0	13.0	UKB_460K.other_MORNINGPERSON	scDRS	0.3217834863157895	False	0.44013128571428567	False
endothelial cell of coronary artery	2694.0	1000.0	0.08191808	1.4247248	0.11388611	1.135907	1.0	3.0	9.0	UKB_460K.other_MORNINGPERSON	scDRS	0.393206784	False	0.3036962933333333	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.36563435	0.25968248	0.37662336	0.16824056	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.5445157012048193	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.23276724	0.6637032	0.85314685	-1.0628896	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.6348197454545454	False	0.8980493157894738	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.9370629	-1.3979751	0.001998002	4.0751195	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.039960039999999995	False
enteroendocrine cell	161.0	1000.0	0.1058941	1.2388408	0.23776224	0.7127532	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4235764	False	0.4322949818181818	False
ependymal cell	55.0	1000.0	0.1998002	0.8081965	0.5064935	-0.1110396	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5994006000000001	False	0.6906729545454546	False
epidermal cell	492.0	1000.0	0.84615386	-0.9893269	0.20979021	0.8047755	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.39335664375	False
epithelial cell	426.0	1000.0	0.94205797	-1.4105839	0.7262737	-0.5864157	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.8204639559633028	False
epithelial cell of large intestine	1704.0	1000.0	0.6253746	-0.34065574	0.006993007	3.0736344	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8828817882352941	False	0.06993007	False
epithelial cell of proximal tubule	393.0	1000.0	0.8291708	-0.93266064	0.15984017	1.0017719	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.3596403661016949	False
epithelial cell of thymus	165.0	1000.0	0.0979021	1.2692593	0.67632365	-0.48210454	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4195804285714286	False	0.7803734423076923	False
fenestrated cell	268.0	1000.0	0.16783217	0.9798505	0.18381618	0.89882433	0.0	0.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5443205513513514	False	0.36763236	False
fibroblast	1330.0	1000.0	0.46753246	-0.037507188	0.41758242	0.15649177	1.0	1.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8250572823529412	False	0.585461065116279	False
fibroblast of cardiac tissue	3926.0	1000.0	0.72327673	-0.614407	0.6213786	-0.36978728	0.0	0.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.9434044304347826	False	0.7525148198019802	False
fibroblast of lung	483.0	1000.0	0.60639364	-0.31612396	0.17382617	0.897079	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8767136963855421	False	0.3596403661016949	False
fibrocyte	44.0	1000.0	0.8211788	-0.9449868	0.2937063	0.609193	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.4533927692307692	False
granulocyte	2966.0	1000.0	0.17482518	0.9021745	0.74125874	-0.6351576	0.0	0.0	5.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5520795157894737	False	0.8204639559633028	False
granulocyte monocyte progenitor cell	250.0	1000.0	0.024975024	2.3589277	0.003996004	3.258211	0.0	1.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.23053868307692305	False	0.053280053333333334	False
granulocytopoietic cell	483.0	1000.0	0.18381618	0.9055501	0.15484515	1.0333629	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5655882461538462	False	0.3596403661016949	False
hematopoietic stem cell	3306.0	1000.0	0.103896104	1.345961	0.000999001	5.130059	0.0	2.0	10.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4235764	False	0.02997003	False
hepatocyte	1162.0	1000.0	0.55244756	-0.2115016	0.25574425	0.5347303	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.44013128571428567	False
immature B cell	589.0	1000.0	0.5294705	-0.09177321	0.054945055	1.5891387	0.0	1.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.19980019999999998	False
intermediate monocyte	12.0	1000.0	0.034965035	1.9680561	0.55244756	-0.12522374	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.26223776249999997	False	0.6978284968421052	False
interneuron	240.0	1000.0	0.004995005	3.509379	0.013986014	2.5683496	2.0	4.0	8.0	UKB_460K.other_MORNINGPERSON	scDRS	0.0999001	True	0.083916084	True
intestinal crypt stem cell	1579.0	1000.0	0.991009	-2.229751	0.032967035	2.2779405	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.995005	False	0.15215554615384613	False
keratinocyte	1215.0	1000.0	0.96004	-1.572971	0.06993007	1.6463822	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.9931448275862069	False	0.230040227027027	False
keratinocyte stem cell	35.0	1000.0	0.5744256	-0.2183806	0.28171828	0.60822004	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8616384	False	0.4533927692307692	False
kidney collecting duct epithelial cell	445.0	1000.0	0.92707294	-1.3474556	0.20979021	0.782513	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.39335664375	False
kidney collecting duct principal cell	157.0	1000.0	0.13386613	1.1154181	0.2857143	0.5452266	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4724686941176471	False	0.4533927692307692	False
kidney interstitial fibroblast	16.0	1000.0	0.8231768	-0.9117662	0.74525476	-0.7320728	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.8204639559633028	False
kidney loop of Henle ascending limb epithelial cell	146.0	1000.0	0.023976024	2.6001935	0.010989011	2.3833556	0.0	0.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.23053868307692305	False	0.07992008	False
large intestine goblet cell	1587.0	1000.0	0.84915084	-1.0151421	0.03196803	2.2511675	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.15215554615384613	False
late pro-B cell	411.0	1000.0	0.36063936	0.29622015	0.07092907	1.6688974	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.230040227027027	False
leukocyte	158.0	1000.0	0.34265736	0.30598652	0.25174826	0.6736486	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.44013128571428567	False
luminal epithelial cell of mammary gland	768.0	1000.0	0.8721279	-1.0786339	0.34665334	0.12249264	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.5135605037037037	False
lung macrophage	9.0	1000.0	0.86013985	-1.1020471	0.8981019	-1.4078664	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.9290709310344828	False
lung neuroendocrine cell	4.0	1000.0	0.08191808	1.5022157	0.6053946	-0.12189558	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.393206784	False	0.7489417731958763	False
lymphocyte	10.0	1000.0	0.23076923	0.75046396	0.8011988	-0.7203017	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.6348197454545454	False	0.8584272857142857	False
lymphoid progenitor cell	13.0	1000.0	0.84015983	-1.0073321	0.54545456	-0.29241097	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.6978284968421052	False
macrophage	2447.0	1000.0	0.77022976	-0.7702378	0.09190809	1.4002779	0.0	0.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.27572427	False
mature NK T cell	199.0	1000.0	0.93606395	-1.3739287	0.63336664	-0.3391931	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.7525148198019802	False
mature alpha-beta T cell	330.0	1000.0	0.81718284	-0.897822	0.3846154	0.31296346	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.5494505714285715	False
medium spiny neuron	103.0	1000.0	0.000999001	6.9347334	0.10989011	1.26768	81.0	92.0	99.0	UKB_460K.other_MORNINGPERSON	scDRS	0.02997003	True	0.29970030000000003	False
megakaryocyte-erythroid progenitor cell	80.0	1000.0	0.34865135	0.27568865	0.1998002	0.83040416	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.386710064516129	False
mesangial cell	93.0	1000.0	0.026973028	2.226214	0.2937063	0.6415537	1.0	2.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.23119738285714286	False	0.4533927692307692	False
mesenchymal stem cell	1429.0	1000.0	0.8091908	-0.8604286	0.22377622	0.7187078	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.4131253292307693	False
mesenchymal stem cell of adipose	4733.0	1000.0	0.54845154	-0.15995213	0.43856144	-0.03475395	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.6049123310344828	False
microglial cell	13268.0	1000.0	0.31768233	0.46466136	0.10889111	1.1268619	1.0	3.0	15.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.29970030000000003	False
monocyte	1281.0	1000.0	0.5194805	-0.17460226	0.66333663	-0.4603458	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.7739833048543691	False
mucus secreting cell	73.0	1000.0	0.4045954	0.032896362	0.00999001	2.594139	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8091908	False	0.07992008	False
myeloid cell	2556.0	1000.0	0.35864136	0.23201789	0.98101896	-1.5969105	0.0	0.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.9892628168067227	False
myeloid dendritic cell	373.0	1000.0	0.64635366	-0.43255877	0.6303696	-0.31054172	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8871128533333333	False	0.7525148198019802	False
myeloid leukocyte	209.0	1000.0	0.6013986	-0.322316	0.34565434	0.39814484	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8767136963855421	False	0.5135605037037037	False
naive B cell	2959.0	1000.0	0.4235764	0.17131178	0.000999001	4.4477153	1.0	2.0	4.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8106179428571428	False	0.02997003	False
neuroepithelial cell	151.0	1000.0	0.05994006	1.7698143	0.1008991	1.2886193	1.0	1.0	3.0	UKB_460K.other_MORNINGPERSON	scDRS	0.3425146285714286	False	0.2882831428571429	False
neuron	484.0	1000.0	0.000999001	9.165504	0.000999001	6.4075036	82.0	107.0	133.0	UKB_460K.other_MORNINGPERSON	scDRS	0.02997003	True	0.02997003	True
neuronal stem cell	97.0	1000.0	0.001998002	3.8751101	0.27672327	0.58232665	1.0	1.0	7.0	UKB_460K.other_MORNINGPERSON	scDRS	0.047952048000000004	True	0.4533927692307692	False
neutrophil	153.0	1000.0	0.33566433	0.34134865	0.1878122	0.84319526	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.3694666229508197	False
non-classical monocyte	149.0	1000.0	0.16183816	1.0318959	0.2827173	0.5872505	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5394605333333334	False	0.4533927692307692	False
oligodendrocyte	2094.0	1000.0	0.09090909	1.3618009	0.043956045	2.243296	0.0	0.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.40404039999999997	False	0.18188708275862067	False
oligodendrocyte precursor cell	312.0	1000.0	0.000999001	3.7256756	0.000999001	5.6457977	7.0	11.0	28.0	UKB_460K.other_MORNINGPERSON	scDRS	0.02997003	True	0.02997003	True
pancreatic A cell	521.0	1000.0	0.011988012	2.6546497	0.001998002	3.873982	1.0	3.0	13.0	UKB_460K.other_MORNINGPERSON	scDRS	0.1998002	False	0.039960039999999995	False
pancreatic B cell	1342.0	1000.0	0.000999001	4.3474903	0.04795205	1.969638	31.0	79.0	175.0	UKB_460K.other_MORNINGPERSON	scDRS	0.02997003	True	0.1856208387096774	False
pancreatic D cell	191.0	1000.0	0.043956045	1.9696914	0.5134865	0.006987521	0.0	2.0	4.0	UKB_460K.other_MORNINGPERSON	scDRS	0.29304030000000003	False	0.6923413483146067	False
pancreatic PP cell	71.0	1000.0	0.030969031	2.363453	0.13786213	1.056946	0.0	0.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.247752248	False	0.35964033599999995	False
pancreatic acinar cell	576.0	1000.0	0.05794206	1.8280426	0.013986014	3.2107608	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.3425146285714286	False	0.083916084	False
pancreatic ductal cell	313.0	1000.0	0.90909094	-1.2315996	0.002997003	3.492129	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.05137719428571428	False
pancreatic stellate cell	48.0	1000.0	0.54545456	-0.22099468	0.14985014	0.95364994	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.35964033599999995	False
pericyte cell	38.0	1000.0	0.075924076	1.466049	0.76623374	-0.69193137	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.393206784	False	0.8283608	False
plasma cell	25.0	1000.0	0.995005	-1.9088315	0.14185815	1.0293717	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.995005	False	0.35964033599999995	False
plasmacytoid dendritic cell	6.0	1000.0	0.43856144	0.12268139	0.5194805	0.46023628	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8119153454545455	False	0.6926406666666667	False
precursor B cell	856.0	1000.0	0.5004995	-0.017208686	0.003996004	2.6711488	1.0	1.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.845914647887324	False	0.053280053333333334	False
proerythroblast	107.0	1000.0	0.44655344	0.03172754	0.31868133	0.5211036	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8119153454545455	False	0.48407290632911393	False
professional antigen presenting cell	130.0	1000.0	0.42457542	0.05359687	0.5314685	-0.106847554	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8106179428571428	False	0.6978284968421052	False
promonocyte	1015.0	1000.0	0.31768233	0.41783673	0.14785215	1.0182699	0.0	0.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.7823755157894737	False	0.35964033599999995	False
pulmonary interstitial fibroblast	50.0	1000.0	0.45354646	0.04069332	0.991009	-2.5200737	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8123220179104477	False	0.991009	False
regulatory T cell	47.0	1000.0	0.969031	-1.6228763	0.28071928	0.6104893	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.9938779487179488	False	0.4533927692307692	False
respiratory basal cell	34.0	1000.0	0.5174825	-0.12655267	0.0959041	1.2991731	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.849919323076923	False	0.28069492682926833	False
secretory cell	563.0	1000.0	0.8811189	-1.1660445	0.16483517	1.0161633	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.3596403661016949	False
skeletal muscle satellite cell	2725.0	1000.0	0.13386613	1.1641462	0.011988012	3.1209474	1.0	4.0	10.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4724686941176471	False	0.07992008	False
smooth muscle cell	103.0	1000.0	0.26073927	0.5804739	0.25674325	0.6705545	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.6801894	False	0.44013128571428567	False
smooth muscle cell of the pulmonary artery	111.0	1000.0	0.20979021	0.68270344	0.17682318	0.91817963	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.5994006000000001	False	0.3596403661016949	False
smooth muscle cell of trachea	125.0	1000.0	0.07692308	1.4875026	0.011988012	2.0599253	0.0	1.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.393206784	False	0.07992008	False
stromal cell	340.0	1000.0	0.4035964	0.17263496	0.7422577	-0.65460116	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8091908	False	0.8204639559633028	False
thymocyte	1625.0	1000.0	0.110889114	1.2917297	0.05294705	1.8584267	0.0	1.0	1.0	UKB_460K.other_MORNINGPERSON	scDRS	0.4292481832258064	False	0.1985514375	False
type I pneumocyte	4.0	1000.0	0.014985015	2.441589	0.83516484	-1.2450116	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.1998002	False	0.8869007150442478	False
type II pneumocyte	167.0	1000.0	0.9020979	-1.0523949	0.17582418	0.88889456	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.983017012173913	False	0.3596403661016949	False
valve cell	315.0	1000.0	0.7152847	-0.618557	0.55044955	-0.12561819	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.9432325714285714	False	0.6978284968421052	False
vein endothelial cell	152.0	1000.0	0.03996004	2.015675	0.17082918	0.9605984	1.0	2.0	2.0	UKB_460K.other_MORNINGPERSON	scDRS	0.2820708705882353	False	0.3596403661016949	False
ventricular myocyte	147.0	1000.0	0.66533464	-0.49338973	0.41958043	0.12771036	0.0	0.0	0.0	UKB_460K.other_MORNINGPERSON	scDRS	0.8871128533333333	False	0.585461065116279	False
B cell	5629.0	1000.0	0.6903097	-0.5212222	0.35764235	0.1786616	1.0	3.0	9.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.5869454961038961	False
Bergmann glial cell	54.0	1000.0	0.000999001	5.1414127	0.000999001	2.9443133	14.0	22.0	26.0	PASS_MDD_Howard2019	scDRS	0.019980019999999998	True	0.014985015	True
Brush cell of epithelium proper of large intestine	175.0	1000.0	0.7442557	-0.7024868	0.000999001	4.000436	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9186731510204081	False	0.014985015	False
CD4-positive, alpha-beta T cell	1170.0	1000.0	0.5514485	-0.17879646	0.28671327	0.5249879	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.5059645941176472	False
CD8-positive, alpha-beta T cell	1070.0	1000.0	0.51648355	-0.046148814	0.76423573	-0.70188814	0.0	1.0	4.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.8413604366972477	False
DN4 thymocyte	1756.0	1000.0	0.44955045	0.10049052	0.18681319	0.83115345	0.0	0.0	5.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.37929285245901645	False
Kupffer cell	262.0	1000.0	0.2977023	0.33352882	0.0939061	1.3365922	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.28894184615384616	False
NK cell	877.0	1000.0	0.8011988	-0.8103244	0.3946054	0.19150685	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9425868235294118	False	0.6070852307692307	False
T cell	1329.0	1000.0	0.47052947	0.025146753	0.20779221	0.7886652	1.0	1.0	4.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.3957946857142857	False
adventitial cell	289.0	1000.0	0.07992008	1.4883034	0.15784216	0.9757139	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.5047584	False	0.3664260226415095	False
aortic endothelial cell	467.0	1000.0	0.27772227	0.56174666	0.84215784	-0.9891261	1.0	2.0	4.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.8864819368421053	False
astrocyte	592.0	1000.0	0.001998002	3.4230924	0.001998002	3.5101554	10.0	21.0	58.0	PASS_MDD_Howard2019	scDRS	0.03425146285714286	True	0.023976024000000002	True
atrial myocyte	403.0	1000.0	0.95704293	-1.3556554	0.34265736	0.30483165	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	1.0	False	0.57442555	False
basal cell	2139.0	1000.0	0.013986014	2.3823342	0.027972028	2.3348935	3.0	10.0	31.0	PASS_MDD_Howard2019	scDRS	0.14985015	False	0.1459410156521739	False
basal cell of epidermis	4214.0	1000.0	0.6983017	-0.5690862	0.034965035	2.083465	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.910828304347826	False	0.17482517499999997	False
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.3756244	0.009711555	0.04795205	1.7453785	0.0	0.0	2.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.19842227586206898	False
basophil	71.0	1000.0	0.5424575	-0.29001558	0.65434563	-0.34116158	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7803734423076923	False
bladder cell	1012.0	1000.0	0.24575424	0.6848358	0.18681319	0.7641639	0.0	1.0	1.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.37929285245901645	False
bladder urothelial cell	1420.0	1000.0	0.953047	-1.5938209	0.003996004	3.934395	1.0	1.0	1.0	PASS_MDD_Howard2019	scDRS	1.0	False	0.03425146285714286	False
brain pericyte	484.0	1000.0	0.77022976	-0.7713464	0.28071928	0.497937	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9290709599999999	False	0.5027808	False
bronchial smooth muscle cell	2117.0	1000.0	0.53646356	-0.120257705	0.043956045	1.9533113	0.0	0.0	2.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.19842227586206898	False
bulge keratinocyte	2604.0	1000.0	0.7062937	-0.5908065	0.16183816	0.8733493	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9113467096774194	False	0.3664260226415095	False
chondrocyte	275.0	1000.0	0.6273726	-0.39840353	0.67432564	-0.5342166	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7803734423076923	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.8971029	-1.2376709	0.014985015	2.2767422	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9909356697247707	False	0.0999001	False
classical monocyte	202.0	1000.0	0.51648355	-0.071127184	0.002997003	2.8006654	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.029970029999999998	False
club cell of bronchiole	22.0	1000.0	0.97202796	-1.3943067	0.20479521	0.8503955	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	1.0	False	0.3957946857142857	False
dendritic cell	62.0	1000.0	0.6773227	-0.5439452	0.14285715	1.0654284	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.35714287499999997	False
early pro-B cell	72.0	1000.0	0.33966035	0.13452953	0.06993007	1.504237	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.233280227027027	False
endocardial cell	375.0	1000.0	0.5044955	-0.12289042	0.16583416	0.94670165	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.36852035555555557	False
endothelial cell	4928.0	1000.0	0.47052947	-0.01961984	0.34165835	0.20152664	2.0	4.0	15.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.57442555	False
endothelial cell of coronary artery	2694.0	1000.0	0.3996004	0.22841951	0.8861139	-1.120981	2.0	3.0	6.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.9166695517241379	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.3836164	0.18192129	0.34465533	0.26859915	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.57442555	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.014985015	2.5792906	0.4855145	0.11512255	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.14985015	False	0.6710531034482758	False
enterocyte of epithelium of large intestine	2542.0	1000.0	1.0	-3.027185	0.07192807	1.7354414	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	1.0	False	0.233280227027027	False
enteroendocrine cell	161.0	1000.0	0.3946054	0.19514932	0.000999001	3.4001107	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.014985015	False
ependymal cell	55.0	1000.0	0.6113886	-0.335789	0.64235765	-0.38787374	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7803734423076923	False
epidermal cell	492.0	1000.0	0.8761239	-1.1276138	0.04795205	1.6833832	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9909356697247707	False	0.19842227586206898	False
epithelial cell	426.0	1000.0	0.985015	-1.7906475	0.22677323	0.7677007	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	1.0	False	0.42519980625	False
epithelial cell of large intestine	1704.0	1000.0	0.8941059	-1.2161889	0.045954045	1.8118523	0.0	0.0	1.0	PASS_MDD_Howard2019	scDRS	0.9909356697247707	False	0.19842227586206898	False
epithelial cell of proximal tubule	393.0	1000.0	0.85814184	-1.045981	0.66033965	-0.46965218	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9909356697247707	False	0.7803734423076923	False
epithelial cell of thymus	165.0	1000.0	0.40759242	0.1347206	0.11988012	1.1592774	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.32694578181818185	False
fenestrated cell	268.0	1000.0	0.53046954	-0.12083816	0.6753247	-0.43978927	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7803734423076923	False
fibroblast	1330.0	1000.0	0.46453547	0.052040186	0.52547455	-0.14001624	1.0	1.0	1.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7086246666666667	False
fibroblast of cardiac tissue	3926.0	1000.0	0.05994006	1.6028453	0.01998002	2.3751447	0.0	7.0	20.0	PASS_MDD_Howard2019	scDRS	0.423106305882353	False	0.11417154285714287	False
fibroblast of lung	483.0	1000.0	0.050949052	1.812665	0.1928072	0.8942852	0.0	0.0	5.0	PASS_MDD_Howard2019	scDRS	0.407592416	False	0.37929285245901645	False
fibrocyte	44.0	1000.0	0.6733267	-0.52416843	0.27972028	0.63259053	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.5027808	False
granulocyte	2966.0	1000.0	0.5994006	-0.28428295	0.67632365	-0.5767176	0.0	1.0	3.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.7803734423076923	False
granulocyte monocyte progenitor cell	250.0	1000.0	0.3936064	0.102697894	0.15884116	1.0118269	0.0	0.0	0.0	PASS_MDD_Howard2019	scDRS	0.9102985054945055	False	0.3664260226415095	False
