celltype	pvalue	q	trait	discovery	z
proerythroblast	1.3873625224986798e-12	2.37833575285489e-11	UKB_460K.blood_PLATELET_COUNT	True	6.98868606959962
leukocyte	6.10559192983048e-11	9.15838789474572e-10	UKB_460K.blood_PLATELET_COUNT	True	6.436683933690705
myeloid dendritic cell	4.22695909757193e-10	5.635945463429241e-09	UKB_460K.blood_PLATELET_COUNT	True	6.136161564984936
valve cell	1.7956925599414801e-09	2.15483107192978e-08	UKB_460K.blood_PLATELET_COUNT	True	5.901992033151198
macrophage	2.49602169184543e-09	2.72293275474047e-08	UKB_460K.blood_PLATELET_COUNT	True	5.847437155840989
mature alpha-beta T cell	1.25166761499969e-08	1.25166761499969e-07	UKB_460K.blood_PLATELET_COUNT	True	5.573038984895755
granulocyte monocyte progenitor cell	3.05592988004712e-08	2.82085835081272e-07	UKB_460K.blood_PLATELET_COUNT	True	5.4154972906660355
monocyte	2.09655203229276e-07	1.79704459910808e-06	UKB_460K.blood_PLATELET_COUNT	True	5.059975475407437
megakaryocyte-erythroid progenitor cell	2.95699455807704e-07	2.36559564646163e-06	UKB_460K.blood_PLATELET_COUNT	True	4.994004916163622
dendritic cell	4.64423575457554e-07	3.4247210568539e-06	UKB_460K.blood_PLATELET_COUNT	True	4.90614321306514
fenestrated cell	4.85168816387636e-07	3.4247210568539e-06	UKB_460K.blood_PLATELET_COUNT	True	4.897560500805579
basophil	5.93689279363345e-07	3.95792852908897e-06	UKB_460K.blood_PLATELET_COUNT	True	4.857732195768708
vein endothelial cell	7.29003659237041e-07	4.60423363728657e-06	UKB_460K.blood_PLATELET_COUNT	True	4.8169068201434655
immature B cell	9.54510658679404e-07	5.72706395207643e-06	UKB_460K.blood_PLATELET_COUNT	True	4.762824213921187
bronchial smooth muscle cell	1.18327774954799e-06	6.76158714027425e-06	UKB_460K.blood_PLATELET_COUNT	True	4.7193017546493605
smooth muscle cell of the pulmonary artery	1.63845023001266e-06	8.93700125461451e-06	UKB_460K.blood_PLATELET_COUNT	True	4.652653869447551
