Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
FRRS1L	23732	1	0.0493421829057201	True	0.05598245020037432	34.0	False
LHFPL5	222662	1	0.0493421829057201	True	0.05466708233664586	35.0	False
LINGO3	645191	1	0.0493421829057201	True	0.0544752214926205	36.0	False
ARSI	340075	1	0.0493421829057201	True	0.05425313220608353	37.0	False
TCERG1L	256536	1	0.0493421829057201	True	0.05144667434566828	38.0	False
NYAP2	57624	1	0.0493421829057201	True	0.05123935534399759	39.0	False
VGLL3	389136	1	0.0493421829057201	True	0.051147992346224046	40.0	False
PAQR9	344838	1	0.0493421829057201	True	0.05038232213660095	41.0	False
HTR3A	3359	1	0.0493421829057201	True	0.04996551897555991	42.0	True
PANX2	56666	1	0.0493421829057201	True	0.04915785087621083	43.0	False
PATE1	160065	1	0.0493421829057201	True	0.04893711367180959	44.0	False
NAT8L	339983	1	0.0493421829057201	True	0.04707122634530672	45.0	False
DNAJC6	9829	1	0.0493421829057201	True	0.045895174408035935	46.0	False
NT5DC2	64943	1	0.0493421829057201	True	0.044516998069035904	47.0	False
CADM3	57863	1	0.0493421829057201	True	0.04427164428519824	48.0	False
YPEL4	219539	1	0.0493421829057201	True	0.04406866554902213	49.0	False
ASPHD2	57168	1	0.0493421829057201	True	0.043928007916465894	50.0	False
CYSLTR2	57105	1	0.0493421829057201	True	0.043318806852914025	51.0	False
GABBR2	9568	1	0.0493421829057201	True	0.0422978832664631	52.0	True
CLGN	1047	1	0.0493421829057201	True	0.04224816733393972	53.0	False
ISLR2	57611	1	0.0493421829057201	True	0.04203219214440225	54.0	False
MMP24	10893	1	0.0493421829057201	True	0.04120945184282337	55.0	False
HS3ST2	9956	1	0.0493421829057201	True	0.04054074720964955	56.0	False
CYP46A1	10858	1	0.0493421829057201	True	0.04022801107258027	57.0	False
SLCO4C1	353189	1	0.0493421829057201	True	0.03917954939351248	58.0	False
SLC5A7	60482	1	0.0493421829057201	True	0.0376909559689627	59.0	False
SYNGR3	9143	1	0.0493421829057201	True	0.037520830343359915	60.0	False
MAPK11	5600	1	0.0493421829057201	True	0.037051740239076425	61.0	False
GPR85	54329	1	0.0493421829057201	True	0.03657314889527762	62.0	True
DPYSL4	10570	1	0.0493421829057201	True	0.03622384305575086	63.0	False
FSCN1	6624	1	0.0493421829057201	True	0.035658331010739806	64.0	False
CHI3L1	1116	1	0.0493421829057201	True	0.035594047095006784	65.0	False
SLC45A1	50651	1	0.0493421829057201	True	0.035318078187875475	66.0	True
FAM20C	56975	1	0.0493421829057201	True	0.03526028747162372	67.0	False
