cell_type	beta	se	z	p	q	sig_pct	trait	discovery
smooth muscle cell of trachea	0.2186780300107964	2.624430425244081	0.0833239959068294	0.9061800051183396	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
smooth muscle cell	-0.8753528603410041	5.159018785106159	-0.1696742921092099	0.7460053679036082	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
pancreatic B cell	-1.5800313908387884	3.8569314408028026	-0.409660222145383	0.7352815289959544	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
pancreatic PP cell	-4.284916192765889	3.144598907653223	-1.362627259819177	0.9299950782596856	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
pancreatic D cell	-4.331583097789323	2.629043712618869	-1.647588846468628	0.9726891311452204	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
pancreatic A cell	-6.474543394288837	2.975624789817353	-2.175860147571311	0.993703869250908	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
kidney interstitial fibroblast	-3.5287492557739792	7.793665452842618	-0.452771456142876	0.7200201208876095	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
oligodendrocyte	-6.965723190870568	5.344378053833731	-1.303373960581584	0.9552448564462056	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
Bergmann glial cell	-9.195995689850388	2.748962394873696	-3.3452606361582875	0.9998181241500648	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
astrocyte	-8.58718595242425	7.673815499870722	-1.1190242914452289	0.9335320937163792	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
atrial myocyte	1.2098769239909002	4.163937873341135	0.2905607530162541	0.8097041847558735	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
basal epithelial cell of tracheobronchial tree	0.0753320395881175	2.378874019397226	0.0316670992132679	0.8840317403922808	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
bladder cell	-5.722496790506131	4.6392097125185545	-1.2335068136851863	0.96737298551949	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
brain pericyte	-1.959777482900567	4.063020652659412	-0.4823449473774673	0.8795706866229741	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
ciliated columnar cell of tracheobronchial tree	-3.024300098419189	1.0725251319808564	-2.8197941551575414	0.9977809779690904	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
club cell of bronchiole	-1.5660873113022746	3.618925679104792	-0.4327492328302456	0.8504071124755916	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
ependymal cell	-4.780636597209738	2.119774360138968	-2.255257298657169	0.9969009117699952	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
epithelial cell of thymus	2.747620026732748	3.883779372687085	0.7074603789431381	0.7699927853300477	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
fibroblast	0.9822973707335528	5.44517415715624	0.1803977875423108	0.7648659559253879	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
fibroblast of lung	-1.853510865014686	7.297005773625601	-0.2540097846316692	0.7334811774318372	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
granulocytopoietic cell	-2.7210920452990246	6.276889232909128	-0.4335096485425615	0.8079407496208073	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
interneuron	-2.293311142289008	4.039817653379331	-0.5676768951119958	0.8393208116626998	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
kidney collecting duct principal cell	-1.3504297535622976	3.2630142290767523	-0.4138595969115318	0.8687964682847324	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
kidney loop of Henle ascending limb epithelial cell	-1.2868145752721123	3.594648976986248	-0.3579805937966652	0.7989455942437773	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
late pro-B cell	-1.217419971137104	5.120902299234466	-0.2377354419198934	0.725994159536867	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
lung neuroendocrine cell	-5.527418085483184	2.9055744424242613	-1.9023494992168888	0.983295526202716	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
lymphocyte	-4.5830912590026855	4.964814360837094	-0.9231143253118436	0.812745959782418	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
medium spiny neuron	-6.394084898286156	1.3792833167286085	-4.635802391528727	0.9999993731849124	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
mesangial cell	-0.0432707473698197	3.793161621623067	-0.0114075675349959	0.920028872134774	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
mesenchymal stem cell	-2.668707830025225	6.693702628300019	-0.3986893320809187	0.9221116021055412	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
mucus secreting cell	-0.9317061893082408	2.3608393547596664	-0.3946503972961296	0.7931607921842367	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
neuron	-4.466422746629668	5.711571142012409	-0.7819954677227348	0.9819388947338796	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
neuronal stem cell	-2.405868694133777	1.9274977787265168	-1.2481823432882586	0.9737627060811668	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
oligodendrocyte precursor cell	-3.246361814760293	3.0097568196483606	-1.0786126618493967	0.8923354715326417	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
ventricular myocyte	-1.9616692865200864	3.898770710890024	-0.503150719030684	0.8298396171007554	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
basal cell of epidermis	34.546245669631354	5.082043013291367	6.797708240422311	2.178778695974843e-15	2.614534435169812e-13	0.9855244423350736	hair_color	True
bulge keratinocyte	48.71346935663023	8.020182965309262	6.073860106101932	1.903860309607423e-12	1.142316185764454e-10	0.9842549923195084	hair_color	True
keratinocyte	25.422704128905995	4.207614545354411	6.042070597216414	7.020366462591151e-12	2.80814658503646e-10	0.9917695473251028	hair_color	True
bladder urothelial cell	27.324965487079503	5.723731872507828	4.7739772050340985	6.854414508603436e-08	2.0563243525810302e-06	0.9647887323943662	hair_color	True
epidermal cell	21.78551708302831	5.700881432701885	3.8214296052642593	2.3385254169686034e-05	0.0005612461000724	0.9735772357723578	hair_color	True
immature B cell	40.01876741781437	11.657815121753345	3.432784531223165	0.0001015615293844	0.0020312305876896	0.8590831918505942	hair_color	True
endothelial cell	21.659808575390716	6.406344285898649	3.380993529034537	0.0002281387412415	0.0035035615204386	0.3863636363636363	hair_color	True
neuron	22.388424830635124	6.1092433837780025	3.664680456189315	0.0002335707680292	0.0035035615204386	0.018595041322314	hair_color	True
keratinocyte stem cell	14.98728310539679	4.661721970981802	3.2149671727935183	0.0003843832414274	0.0051251098856992	1.0	hair_color	True
epithelial cell	11.420151244274903	2.95290134205421	3.867434066161649	0.0019542582223455	0.023451098668146	0.1338028169014084	hair_color	True
intermediate monocyte	29.480413233497718	11.071478057165905	2.6627351001627835	0.0033307614028212	0.0333076140282129	0.8333333333333334	hair_color	True
luminal epithelial cell of mammary gland	10.5939044355178	3.842513393497071	2.7570247259115703	0.0031363647622698	0.0333076140282129	0.8020833333333334	hair_color	True
basal cell	15.596143925917552	6.531679355338878	2.3877693740690966	0.0082064570561133	0.0730560079700687	0.7410004675081814	hair_color	True
DN4 thymocyte	21.00601805809199	8.566274720750783	2.452176557822434	0.0085232009298413	0.0730560079700687	0.424259681093394	hair_color	True
classical monocyte	26.475255191785013	11.40244520006069	2.321892780650601	0.0094421076876229	0.0755368615009833	0.9306930693069309	hair_color	True
basal epithelial cell of tracheobronchial tree	9.33011082845312	3.3775773898894506	2.762367742152164	0.0125264414101376	0.0939483105760323	0.3836633663366336	hair_color	True
non-classical monocyte	29.58010146952768	13.472620439234388	2.195571500209846	0.0144491558897886	0.1019940415749788	0.0	hair_color	False
bronchial smooth muscle cell	20.37979937355424	9.642157115215396	2.113614114563095	0.0157507836435721	0.105005224290481	0.0	hair_color	False
smooth muscle cell of the pulmonary artery	18.085565726218057	9.044884218248258	1.999535349466389	0.0228756268668174	0.1348607318466955	0.0	hair_color	False
respiratory basal cell	8.687565213717148	4.277957693049475	2.030773990082252	0.0236006280731717	0.1348607318466955	0.0	hair_color	False
macrophage	12.781054975041044	4.600829225814183	2.777989433585041	0.0223515952709479	0.1348607318466955	0.0	hair_color	False
T cell	13.432494666124397	5.843229334465171	2.2988135322526864	0.0250897117723664	0.1368529733038169	0.0	hair_color	False
myeloid cell	15.639672707591076	7.014446160402893	2.2296375722260544	0.027481072283879	0.1433795075680646	0.0	hair_color	False
oligodendrocyte	9.794942254253463	5.327532248031091	1.838551471532322	0.0302425962272415	0.1512129811362079	0.0	hair_color	False
promonocyte	16.23281956614821	8.097877498287684	2.0045770721501626	0.0358956046894474	0.1656720216436035	0.0	hair_color	False
intestinal crypt stem cell	9.9090514038594	5.137439518462196	1.928791836526672	0.0351006952546289	0.1656720216436035	0.0	hair_color	False
B cell	22.653390035764343	12.149660746480938	1.8645286077083048	0.0378258770961212	0.1681150093160945	0.0	hair_color	False
naive B cell	21.188931641983284	11.290596977647512	1.876688334897786	0.0409446043511954	0.1754768757908376	0.0	hair_color	False
epithelial cell of large intestine	15.269262121465182	7.365181421944521	2.073168500095665	0.0438355004270243	0.1757266716889692	0.0	hair_color	False
neuroepithelial cell	20.461005015936426	9.511422463629511	2.1512034707928014	0.0439316679222423	0.1757266716889692	0.0	hair_color	False
CD4-positive, alpha-beta T cell	15.768817161616065	8.135970087342573	1.9381606609085489	0.0482252669845629	0.1759407430419206	0.0	hair_color	False
NK cell	13.986270061902204	7.377403512666204	1.8958255486350029	0.0460149738406436	0.1759407430419206	0.0	hair_color	False
mature alpha-beta T cell	14.64608905027453	7.555976632835833	1.938344936990324	0.0483837043365281	0.1759407430419206	0.0	hair_color	False
