source	target	weight
Breast cancer	Diastolic blood pressure	0.600144757914289
Breast cancer	Heel T score	0.6020518910496261
Breast cancer	Height	0.6017545461572331
Hair pigmentation	Vitiligo	0.5937109769902046
Hair pigmentation	Melanoma	0.5951111387893915
Hair pigmentation	Height	0.6455862061677748
Age at menarche	Basal metabolic rate	0.6637035281809363
Age at menarche	BMI	0.6826506802765533
Age at menarche	Sleep duration	0.6344130102977936
Age at menarche	Smoking status	0.6545171252215164
Age at menopause	Platelet count	0.6213691618178153
Age at menopause	Red blood cell distribution width	0.6225454617831857
Age at menopause	Sex hormone binding globulin	0.6213991708583229
